CT1_CONTA,CT1_DESC01
3131010004,INSS SOBRE SERVICOS DE COOPERATIVAS
3131010005,INSS SOBRE SERVICOS DE AUTONOMOS
3131010006,PCC RETIDO NA FONTE
3131010009,PIS S/ IMPORTACAO DE SERVICOS
3131010010,COFINS S/ IMPORTACAO DE SERVICOS
3131010011,CIDE S/ REMESSAS AO EXTERIOR
3131010012,CPMF/IOF
3131010015,IOF S/ CONVENIOS/TRANSFERENCIAS
3131019999,PCC S/ VENDAS/FATURAMENTO
3131020001,IPVA
3131020002,DPVAT - SEGURO OBRIGATORIO
3131020003,ICMS
3131030001,IPTU - IMP S/ PROP PREDIAL TERRIT URB
3131030003,ISS S/ IMPORTACAO DE SERVICOS
3131030004,ISS RETIDO S/ SUBSTITUICAO TRIBUTARIA
3131030005,TAXA DE ALVARA
3131030006,OUTRAS TAXAS MUNICIPAIS
3131040001,TRIBUTOS CORPORATIVOS
3131040002,DESPESAS COM ROYALTIES
3141010001,VARIAÇÃO CAMBIAL (PERDA) BANCO DO BRASIL
3141010002,JUROS E MULTAS
3141010003,DESCONTOS FINANCEIROS
3141010004,TARIFAS BANCARIAS
3141010005,VARIACAO CAMBIAL (PERDA)
3141010006,CORRECAO MONETARIA S/ PASSIVOS CONTIN
3141010007,IOF SOBRE OPERACOES COM CARTOES
3141020003,TARIFAS BANCARIAS S/ CONVENIOS/TRANSF
3141030001,FINANCEIRAS DE ARRENDAMENTO
3151010001,DEPRECIACAO
3152010001,AMORTIZACAO
3153010001,DEPRECIAÇÃO DIREITOS DE USO
3161020001,PERDAS COM CREDITOS RECEBER
3161030001,DEMAIS DESPESAS OPERACIONAIS
3161030002,PROCESSOS JUDICIAIS TRABALHISTAS
3161030003,PROCESSOS JUDICIAIS TRIBUTARIOS
3161030004,PROCESSOS JUDICIAIS CÍVEIS
3211010001,CUSTO DO ATIVO BAIXADO
3211010002,(-) DEPREC/AMORTIZ. DO ATIVO BAIXADO
3211020001,PERDA/GANHO C/ REAVALIACAO DE ATIVO
3221010001,BAIXA DE PROVISÕES JUDICIAIS
3231010001,OUTRAS RECEITAS E DESP OPERACIONAIS
4111010001,CONTRIBUICAO SOCIAL RFB
4111010099,(-) TAXA DE ADMINISTRACAO RFB
4111019999,(CONTA INUTILIZADA)
4111020001,CONVENIO MDIC-EXPOXANGAI
4111020002,CONVENIO MDIC-MISSOES
4111020004,RECEITA APEX/MDIC CONVENIO PROMO COMP
4111020005,RECEITA APEX/MDIC CONVENIO DESENV DE
4111020006,RECEITA APEX/MDIC CONVENIO MISSOES 20
4111020007,RECEITA APEX/MDIC CONVENIO DESIGN
4111020008,RECEITA APEX/MDIC CONVENIO PESQ E DES
4111020009,RECEITA APEX/MDIC CONVENIO EXPO MILAO
4111020010,RECEITA APEX/MDIC CONVENIO MODA BRASI
4111020011,RECEITA APEX/MDIC CONVENIO CASA BRASI
4111030001,CONVENIO BID
4121010001,PRESTACAO DE SERVICOS NACIONAIS
4121010002,PRESTACAO DE SERVICOS INTERNACIONAIS
4121010003,ORGANIZACAO EVENTOS NACIONAIS
4121010004,ORGANIZACAO DE EVENTOS INTERNACIONAIS
4121010096,(-) CSLL S/ VENDAS/FATURAMENTO
4121010097,(-) ISS S/ VENDAS/FATURAMENTO
4121010098,(-) COFINS CUMULATIVO
4121010099,(-) RECEITAS CANCELADAS
4121020001,PRESTACAO DE SERVICOS NACIONAIS
4121020002,PRESTACAO DE SERVICOS INTERNACIONAIS
4121020003,ORGANIZACAO EVENTOS NACIONAIS
4121020004,ORGANIZACAO DE EVENTOS INTERNACIONAIS
4121020005,PRESTAÇÃO DE SERVIÇOS TREINAMENTOS
4121020096,(-) CSLL S/ VENDAS/FATURAMENTO
4121020097,(-) ISS S/ VENDAS/FATURAMENTO
4121020098,(-) COFINS NAO CUMULATIVO
4121020099,(-) RECEITAS CANCELADAS
4121030001,RECEITAS INTERNACIONAIS
4122010001,ARMAZENAGEM DE MERCADORIAS
4122010002,JUROS DE APLICACOES FINANCEIRAS CNS
4122010010,RECURSOS ENTIDADE PUBLICA
4122010014,ROYALTIES EXPO
4122010099,(-) IRRF - (0422) ROYALTIES
4123010001,RECEITA DE PATROCINIOS NACIONAIS
4123010002,RECEITA DE PATROCINIOS INTERNACIONAIS
4124010001,ESTUDOS CUSTOMIZADOS
4124020001,MISSOES COMERCIAIS
4124029997,MATCHMAKING COM POTENCIAIS COMPRADORE
4124029998,RODADAS DE NEGOCIOS
4124030001,LOCACAO DE ESCRITORIOS EQUIPADOS
4124030002,SECRETARIA VIRTUAL
4124030003,INDICACAO DE SERVICOS
4124030004,TAXA DE ADESAO PELOS SERVICOS DOS EAS
4124039997,LOCACAO DE SALAS DE REUNIAO
4124039998,ASSESSORIA NA ABERTURA DA EMPRESA
4124040001,OUTRAS RECEITAS OPERACIONAIS
4131010001,ATUALIZACAO MONET/DIREITOS A RECEBER
4131010002,RESTITUICOES DE PROJETOS/CONVENIOS
4131010003,DEVOLUCOES/RESTITUICOES DE TERCEIROS
4131010004,RECUPERACAO DE TRIBUTOS
4131010005,RECUPERACAO DE RESULTADO
4131010006,DESCONTOS FINANCEIROS OBTIDOS
4131010007,REVERSAO DE PERDAS C/ CREDITOS A RECE
4131010008,REVERSAO DE PERDAS COM CONTINGENCIAS
4131010009,DEMAIS RECEITAS OPERACIONAIS
4131019998,RECEITA DE DOACAO
4141010001,BB/FUNDO MILENIO - CTA: 7364-4
4141010002,BB/FUNDO COMERCIAL17 - CTA: 7364-4
4141010003,BB/C.POUPANCA Nº 431589-8P (CUSTEIO)
4141010004,BB - FUNDO 3307-3 - ABRC
4141010005,BB - C/C 431611-8 - FAO
4141010006,C/C 6503-XA BACEN JUD
4141010007,REND. BB AMPLO 7364-4A
4141010008,BB/C.POUPANCA Nº 431589-8 RENDE FÁCIL
4141010009,BB/C.POUP Nº 5494-1R RENDE FÁCIL HON SUC
4141010010,RDM BB SECURITIES LLC - BANK OF NEW YORK
4141010011,REND. BB TOQUIO
4141019998,BB/FUNDO MILENIO - CTA: 431590-1
4141020001,CEF/FUNDO APEXPORT- CTA: 6010-3
4141020002,CEF/CADERNETA DE POUPANCA Nº 10072-2
4141020003,CEF/FUNDO CAPITAL GIRO - CTA: 6010-3
4141020004,CEF/FUNDO APEXPORT - CTA: 6010-3 LONG
4141020005,RENDIMENTO CAIXA FIC AMETISTA
4141030001,F/A - BRADESCO CAPITAL DE GIRO 10125-
4141030002,BRADESCO INVEST FACIL
4141040001,BANCO RENDIMENTO
4141050001,BANCO BTG
4141060001,REND APLIC AUTOMAT ITAU
4141070001,REND APLIC. XP INVESTIMENTOS
4141090001,(-) IRRF S/ RENDIMENTOS FINANCEIROS
4141090002,(-) (5856) COFINS S/ RECEITA FINANCEI
4141090003,(-) IR S/ APLICACAO FINANCEIRA
4141090004,(-) DESVAL. DE FUNDOS DE INVESTIMENTO
4141090005,(-) IOF S/ RECEITA FINANCEIRA
4142010001,POUP 6114-X APEX/MDIC CONV  PESQ E DE
4142010002,REND BB / FUNDO 6263-4 CONV MODA BRAS
4142010003,REND BB / FUNDO 6264-2 CONV EXPO MILA
4142019992,F/A 5698-7A - VALE/PATROCINIO_APLICAC
4142019993,F/A 5688-XA - JAFZA/TRANSF_APLICACAO
4142020001,RENDIMENTOS E RECEITAS FINANCEIRAS EAS
4143010001,GANHOS COM VARIACAO CAMBIAL
4143010002,VARIACAO CAMBIAL (GANHOS) BANCO BRASIL
5111010001,PREV. INIC. REC. CONTRIB. SRFB BRUTA
5111019000,(-) PREV. INIC. DA TAXA DE ADM SRFB
5111020001,PREV. INIC. REC. REND. APLIC. FINANC
5111029000,(-) PREV. INIC. IR S/ APLIC. FINANC
5111029001,(-) PREV. INIC. COFINS S/ APLIC. FINA
5111029002,(-) PREV. INIC. IOF S/ APLIC. FINANC
5111030001,PREV. INIC. REC. FAT. NEG. NO BRASIL
5111030002,PREV. INIC. REC. FAT. NEG. FORA BRASI
5111039000,(-) PREV. INIC. ISS S/ FAT. C/ NEG.
5111039001,(-) PREV. INIC. COFINS S/ FAT. C/ NEG
5111040001,PREV. INIC. REC. CONVENIOS PUBLICOS
5111050001,PREV. INIC. RECEITA DIVERSAS
5111060001,PREV. INIC. SALDO ANTERIOR DIVERSOS
5112010001,REESTIMAT. REC. CONTRIB. SRFB BRUTA
5112019000,(-) REESTIMAT. TAXA DE ADM SRFB
5112020002,REESTIMAT. REC. REND. APLIC. FINANC
5112029000,(-) REESTIMAT. IR S/ APLIC. FINANC
5112029001,(-) REESTIMAT. COFINS S/ APLIC. FINAN
5112029002,(-) REESTIMAT. IOF S/ APLIC. FINANC
5112030001,REESTIMAT. REC. FAT. C/ NEG. NO BRASI
5112030002,REESTIMAT. REC. FAT. C/ NEG. FORA BRA
5112039000,(-) REESTIMAT.  ISS S/ FAT. C/ NEG.
5112039001,(-) REESTIMAT.  COFINS S/ FAT. C/ NEG
5112040001,REESTIMAT. REC. CONVENIOS PUBLICOS
5112050001,REESTIMAT. RECEITA DIVERSAS
5112060001,REESTIMAT. SALDO ANTERIOR DIVERSOS
5121010001,DOT. INIC. PESSOAL PROMOCAO
5121010002,DOT. INIC. OUTRAS DESP. PROMOCAO
5121030001,DOT. INIC. PESSOAL MANUTENCAO
5121030002,DOT. INIC. OUTRAS DESP. MANUTENCAO
5121030003,DOT. INIC. OUTRAS DESP. MANUT - C.FINANC
5121030004,DOT. INIC. OUTRAS DESP. MANUT - C.TRIBUT
5121040001,DOT. INIC. PROVISOES DIVERSAS
5122010001,DOT. REESTIMAT. PESSOAL PROMOCAO
5122010002,DOT. REESTIMAT. OUTRAS DESP. PROMOCAO
5122030001,DOT. REESTIMAT. PESSOAL MANUTENCAO
5122030002,DOT. REESTIMAT. OUTRAS DESP. MANUTENC
5122030003,DOT. REESTIMAT. OUT.DESP.MANUT - C.FIN
5122030004,DOT. REESTIMAT. OUT.DESP.MANT - C.TRIB
5122040001,DOT. REESTIMAT. PROVISOES DIVERSAS
6111010001,REC. DE CONTRIB. SRFB BRUTA A REALIZA
6111019000,(-) TAXA DE ADM SRFB A REALIZAR
6111020001,REND. APLIC. FINANC. A REALIZAR
6111029000,(-) IR S/ APLIC. FINANC. A REALIZAR
6111029001,(-) COFINS S/ APLIC. FINANC. A REALIZ
6111029002,(-) IOF S/ APLIC. FINANC A REALIZAR
6111030001,REC. FAT. C/ NEG. NO BRASIL A REALIZA
6111030002,REC. FAT. C/ NEG. FORA BRASIL A REALI
6111030003,(-) CANCELAMENTO REC. FAT. A REALIZAR
6111039000,(-) ISS S/ FAT. C/ NEG. A REALIZAR
6111039001,(-) COFINS S/ FAT. C/ NEG. A REALIZAR
6111040001,REC. CONVENIOS PUBLICOS A REALIZAR
6111050001,RECEITA DIVERSAS A REALIZAR
6111060001,SALDO ANTERIOR DIVERSOS A REALIZAR
6112010001,REC. CONTRIB. SRFB BRUTA - REALIZADA
6112019000,(-) TAXA DE ADM.SRFB REALIZADA
6112020001,REND. APLIC. FINANC. REALIZADA
6112029000,(-) IR S/ APLIC. FINANC. REALIZADO
6112029001,(-) COFINS S/ APLIC. FINANC. REALIZAD
6112029002,(-) IOF S/ APLIC. FINANC REALIZADO
6112030001,REC. FAT. C/ NEG. NO BRASIL REALIZADA
6112030002,REC. FAT. C/ NEG. FORA BRASIL REALIZA
6112030003,(-) CANCELAMENTO REC. FAT. REALIZADA
6112039000,(-) ISS S/ FAT. C/ NEG. REALIZADA
6112039001,(-) COFINS S/ FAT. C/ NEG. REALIZADA
6112040001,REC. CONVENIOS PUBLICOS REALIZADO
6112050001,RECEITA DIVERSAS REALIZADA
6112060001,SALDO ANTERIOR DIVERSOS REALIZADO
6211010001,DOT. DISP. PESSOAL C/ REMUNERACAO
6211010002,DOT. DISP. PESSOAL C/ ENCARGOS
6211010003,DOT. DISP. PESSOAL C/ BENEFICIOS
6211020001,DOT. DISP. PROJETOS
6211020002,DOT. DISP. VIAGENS
6211020003,DOT. DISP. TARIFAS BANCARIAS
6211020004,DOT. DISP. FUNDO FIXO CAIXA ECARTAO
6211020005,DOT. DISP. CONV PS
6211020006,DOT. DISP. CONV PEIEX
6211020007,DOT. DISP. CONV OUTROS
6211020008,DOT. DISP. C. TRIBUTARIOS
6211030001,DOT. DISP. PROVISOES DIVERSAS
6212010001,DOT. DISP. PESSOAL C/ REMUN. -ALTERAC
6212010002,DOT. DISP. PESSOAL C/ ENCARGOS -ALTER
6212010003,DOT. DISP. PESSOAL C/ BENEFIC -ALTERA
6212020001,DOT. DISP. PROJETOS -ALTERAC
6212020002,DOT. DISP. VIAGENS -ALTERAC
6212020003,DOT. DISP. TARIFAS BANCARIAS -ALTERAC
6212020004,DOT. DISP. FDO FX CAIXA ECARTAO -ALTE
6212020005,DOT. DISP. CONV PS -ALTERAÇ
6212020006,DOT. DISP. CONV PEIEX -ALTERAÇ
6212020007,DOT. DISP. CONV OUTROS -ALTERAÇ
6212020008,DOT. DISP. C.TRIBUTÁRIOS - ALTERA
6212030001,DOT. DISP. PROVISOES DIVERSAS -ALTERA
6213010001,DOT. RESERV. PESSOAL C/ REMUNERACAO
6213010002,DOT. RESERV. PESSOAL C/ ENCARGOS
6213010003,DOT. RESERV. PESSOAL C/ BENEFICIOS
6213010004,CANCEL. DOT. RESERV. PESSOAL C/ BENEF
6213020001,DOT. RESERV. PROJETOS
6213020002,DOT. RESERV. VIAGENS
6213020003,DOT. RESERV. TARIFAS BANCARIAS
6213020004,DOT. RESERV. FUNDO FIXO CAIXA ECARTAO
6213020005,CANCEL. DOT. RESERV. PROJETOS
6213020006,CANCEL. DOT. RESERV. VIAGENS
6213020007,DOT. RESERV. CONV PS
6213020008,DOT. RESERV. CONV PEIEX
6213020009,DOT. RESERV. CONV OUTROS
6213020010,CANCEL.DOT. RESERV. CONV PS
6213020011,CANCEL.DOT. RESERV. CONV PEIEX
6213020012,CANCEL.DOT. RESERV. CONV OUTROS
6213020013,DOT. RESERV. C. TRIBUTARIOS
6213030001,DOT. RESERV. PROVISOES DIVERSAS
6214010001,EMP A LIQUIDAR PESSOAL C/ REMUNERACAO
6214010002,EMP A LIQUIDAR PESSOAL C/ ENCARGOS
6214010003,EMP A LIQUIDAR PESSOAL C/ BENEFICIOS
6214010004,CANCEL. EMP.LIQUIDAR PESSOAL C/ BENEF
6214010005,ENCERR. EMP.LIQUIDAR PESSOAL C/ BENEF
6214010006,ESTORNO EMP.LIQUIDAR PESSOAL C/ BENEF
6214020001,EMP A LIQUIDAR PROJETOS
6214020002,EMP A LIQUIDAR VIAGENS
6214020003,EMP A LIQUIDAR TARIFAS BANCARIAS
6214020004,EMP A LIQUIDAR FUNDO FIXO CAIXA ECART
6214020005,CANCEL. EMP A LIQUIDAR PROJETOS
6214020006,CANCEL. EMP A LIQUIDAR VIAGENS
6214020007,ENCERR. EMP A LIQUIDAR PROJETOS
6214020008,ENCERR. EMP A LIQUIDAR VIAGENS
6214020009,ESTORNO EMP A LIQUIDAR PROJETOS
6214020010,ESTORNO EMP A LIQUIDAR VIAGENS
6214020011,EMP A LIQUIDAR CONV PS
6214020012,EMP A LIQUIDAR CONV PEIEX
6214020013,EMP A LIQUIDAR CONV OUTROS
6214020014,CANCEL.EMP A LIQUIDAR CONV PS
6214020015,CANCEL.EMP A LIQUIDAR CONV PEIEX
6214020016,CANCEL.EMP A LIQUIDAR CONV OUTROS
6214020017,ENCERR.EMP A LIQUIDAR CONV PS
6214020018,ENCERR.EMP A LIQUIDAR CONV PEIEX
6214020019,ENCERR.EMP A LIQUIDAR CONV OUTROS
6214020020,ESTORNO EMP A LIQUIDAR CONV PS
6214020021,ESTORNO EMP A LIQUIDAR CONV PEIEX
6214020022,ESTORNO EMP A LIQUIDAR CONV OUTROS
6214020023,EMP. A LIQUIDAR C. TRIBUTÁRIOS
6214030001,EMP A LIQUIDAR PROVISOES DIVERSAS
6221010001,EMPENHO A PAGAR PESSOAL C/ REMUNERACA
6221010002,EMPENHO A PAGAR PESSOAL C/ ENCARGOS
6221010003,EMPENHO A PAGAR PESSOAL C/ BENEFICIOS
6221010004,ESTORNO EMP. A PAGAR PESSOAL C/ BENEF
6221020001,EMPENHO A PAGAR PROJETOS
6221020002,EMPENHO A PAGAR VIAGENS
6221020003,EMPENHO A PAGAR TARIFAS BANCARIAS
6221020004,EMPENHO A PAGAR FUNDO FIXO CAIXA ECAR
6221020005,ESTORNO EMP. A PAGAR PROJETOS
6221020006,ESTORNO EMP. A PAGAR VIAGENS
6221020007,EMPENHO A PAGAR CONV PS
6221020008,EMPENHO A PAGAR CONV PEIEX
6221020009,EMPENHO A PAGAR CONV OUTROS
6221020010,ESTORNO EMP. A PAGAR CONV PS
6221020011,ESTORNO EMP. A PAGAR CONV PEIEX
6221020012,ESTORNO EMP. A PAGAR CONV OUTROS
6221020013,EMP. A PAGAR C. TRIBUTARIOS
6221030001,EMPENHO A PAGAR PROVISOES DIVERSAS
6222010001,EMPENHO PAGO PESSOAL C/ REMUNERACAO
6222010002,EMPENHO PAGO PESSOAL C/ ENCARGOS
6222010003,EMPENHO PAGO PESSOAL C/ BENEFICIOS
6222010004,ESTORNO EMP. PAGO PESSOAL C/ BENEF
6222020001,EMPENHO PAGO PROJETOS
6222020002,EMPENHO PAGO VIAGENS
6222020003,EMPENHO PAGO TARIFAS BANCARIAS
6222020004,EMPENHO PAGO FUNDO FIXO CAIXA ECARTAO
6222020005,ESTORNO EMP. PAGO PROJETOS
6222020006,ESTORNO EMP. PAGO VIAGENS
6222020007,EMPENHO PAGO CONV PS
6222020008,EMPENHO PAGO CONV PEIEX
6222020009,EMPENHO PAGO CONV OUTROS
6222020010,ESTORNO EMP. PAGO CONV PS
6222020011,ESTORNO EMP. PAGO CONV PEIEX
6222020012,ESTORNO EMP. PAGO CONV OUTROS
6222020013,EMP. PAGO C. TRIBUTARIO
6222030001,EMPENHO PAGO PROVISOES DIVERSAS
